slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
16384060,180,12664397,0.42214656666666667,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,180,100,1419158159.55,255448468719,31247484343
16384420,142,10897634,0.36325446666666666,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,142,100,2524260244.4859157,358444954717,73317247774
16384780,137,19224353,0.6408117666666666,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,137,100,3611727397.9927006,494806653525,100000000000
16385140,149,13663921,0.45546403333333335,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,149,100,2770977058.8389263,412875581767,92041402186
16385500,215,20474397,0.6824799,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,215,100,6421707957.897675,1380667210948,519580045587
16385860,169,15964025,0.5321341666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,169,100,4337327141.426036,733008286901,40000000000
16386220,166,25131592,0.8377197333333334,,0xeBec795c9c8bBD61FFc14A6662944748F299cAcf,166,100,2167705310.7168674,359839081579,27521138225
16386580,155,14250957,0.4750319,,0xAAB27b150451726EC7738aa1d0A94505c8729bd1,155,100,6635575533.722581,1028514207727,122000000000
16386940,196,15147444,0.5049148,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,196,100,10520973239.938776,2062110755028,1590414097403
16387300,289,18489581,0.6163193666666666,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,289,100,3434112217.318339,992458430805,257743358325
16387660,223,20593438,0.6864479333333333,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,223,100,3441293042.4304934,767408348462,222000000000
16388020,187,15152265,0.5050755,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,187,100,1776503560.7165775,332206165854,18717080161
16388380,183,18541001,0.6180333666666666,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,183,100,1506446394.7759564,275679690244,3182605048
16388740,172,18797527,0.6265842333333334,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,172,100,1729694076.8372092,297507381216,23526388799
16389100,131,12665977,0.4221992333333333,,0x991217Ef9f96456E5DF5e158f444f25E9638c6d8,131,100,1556718616.3053436,203930138736,18625330105
16389460,162,15176239,0.5058746333333334,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,162,100,1670922189.191358,270689394649,21357156832
16389820,114,9058808,0.30196026666666664,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,114,100,1593296168.1491227,181635763169,18085375843
16390180,192,16691304,0.5563768,,0x473780deAF4a2Ac070BBbA936B0cdefe7F267dFc,192,100,1638422167.1041667,314577056084,18866475527
16390540,17,2161973,0.07206576666666667,,0x378cdc4E9E9BCcD7aEda011888ECF6A8528271FB,17,100,2461770083.882353,41850091426,20850091426
16390900,60,29986476,0.9995492,,0x3b7fAEc3181114A99c243608BC822c5436441FfF,60,100,1544055599.6,92643335976,14828348479
16391260,176,19139336,0.6379778666666667,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990,176,100,11210775724.1875,1973096527457,862739429789
16391620,171,11875513,0.3958504333333333,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,171,100,2259718885.9766083,386411929502,99540054926
16391980,139,12300471,0.4100157,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,139,100,4048900690.230216,562797195942,166000000000
16392340,177,13914461,0.4638153666666667,,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,177,100,4384648173.468926,776082726704,57249254827
16392700,140,11861220,0.395374,,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,140,100,3009284604.2357144,421299844593,244000000000
