slot,txns,cu,cu_percentage,rewards,leader,fees_count,fees_percentage,fees_average,fees_total,fees_max
171354281,695,74597640,1.5541175,1933783,7FwkNPVtU9fZHmXQaNyP217VqvUmVrm9xp1yzKhQQvUf,219,0.31510791366906,6793,1487566,16200
171362922,2040,57812216,1.2044211666666667,5426086,Cpdx8bAwWbF8T6e8Zfs1jiFHyTcqi2tuYogG1rXMUV9z,193,0.094607843137255,8379,1617171,110000
171371563,1535,58788300,1.22475625,4007745,3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX,136,0.088599348534202,7504,1020490,29000
171380204,3573,57958740,1.20747375,9079085,EgxVyTgh2Msg781wt9EsqYx4fW8wSvfFAHGLaJQjghiL,193,0.054016232857543,6519,1258170,16200
171388845,1790,38956112,0.8115856666666666,5064747,A5EGLkDcDFtMcB3Mtdn6cYgeAq1gDvx9Yop7y8eyt9MN,126,0.070391061452514,14361,1809494,153599
171397486,952,68644012,1.4300835833333334,2604422,2RwFJJkhr4tCTuQnZN1CFpAtn5s9pTzakagvu326W1FT,184,0.19327731092437,7439,1368843,185950
171406127,412,15658697,0.3262228541666667,1531183,8xWsmbZdGLXNsrNjrVWQX8WsrDoX1dohtM2ncK9vtUvb,52,0.12621359223301,24276,1262366,228424
171414768,0,0,0,0,XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,,,,,
171423409,2340,62235624,1.2965755,6019067,CTVerjk67TbCeFwAcP8hsMYNqnvDbg9QkdLhXH7csZX7,118,0.05042735042735,7866,928133,55400
171432050,1869,66419803,1.3837458958333333,4780632,Hr7bZkosETza1xtSRgmTr8DBSMMif9RPE4U49H7LXSNu,128,0.06848582129481,6690,856263,16200
171440691,1654,69382928,1.4454776666666667,4434517,G7kTcjJkdf5jMaFxkTAexuCNBjrZFvt8ofp8BdFPwBaC,142,0.085852478839178,9219,1309033,105240
171449332,4127,52029324,1.08394425,10733102,5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,194,0.047007511509571,9285,1801203,110000
171457973,2594,35547651,0.7405760625,8449945,2nUejUPz8nXuYsa2mqDJmdjmyCb81KcLrQ9QNfzTNJGk,109,0.042020046260601,41054,4474890,392032
171466614,3922,40401425,0.8416963541666667,10171370,7d9X3MXi181DVnLg9AnMexPJxkSG6txo5dEKCTowS5gs,152,0.038755736868944,9821,1492740,181050
